Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CMCL,Caledonia Mining Corporation Plc Common Shares,$10.65,-0.10,-0.93%,204352977.00,Canada,,58356,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$13.76,0.16,1.176%,123225754.00,United States,1996,22049,Industrials,Plastic Products
CNL,Collective Mining Ltd. Common Shares,$6.66,-0.07,-1.04%,454530834.00,,2024,12253,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$19.20,1.21,6.726%,109856064.00,China,2016,14974,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$9.43,-0.0321,-0.339%,18389933.00,United States,,2307,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.2297,0.003,1.323%,4422497.00,China,,542233,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.66,0.05,0.657%,0.00,United States,2003,785460,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$9.75,-0.01,-0.102%,119227670.00,United States,2021,61585,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$1.22,-0.04,-3.175%,68454112.00,,2022,3470719,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$0.3467,0.0052,1.523%,26769241.00,United States,1997,264307,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$13.90,0.00,0.00%,13429235.00,United States,1930,2473,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$3.65,0.06,1.671%,47452446.00,United States,2022,52447,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$7.29,-0.17,-2.279%,145741024.00,Canada,,180501,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$3.04,-0.01,-0.328%,287068580.00,United States,2022,413506,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$0.2321,-0.0239,-9.336%,18481045.00,,2023,346508,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.16,0.01,0.465%,0.00,United States,1998,263532,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$134.50,0.00,0.00%,86814639.00,United States,1999,108,Consumer Discretionary,Food Distributors
DMF,BNY Mellon Municipal Income Inc. Common Stock,$7.07,-0.03,-0.423%,440396338.00,United States,1988,33195,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$11.09,0.06,0.544%,0.00,,2022,77643,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.39,-0.04,-2.797%,1240394207.00,Canada,,65589437,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$0.91,0.0299,3.397%,6430763.00,United States,,15796,Consumer Discretionary,Containers/Packaging
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),$7.00,-0.16,-2.235%,1746248.00,,,25675,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.89,-0.03,-0.434%,0.00,United States,2003,209782,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$9.36,0.02,0.214%,0.00,United States,1986,71051,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$21.95,-0.14,-0.634%,,United States,,870,,
EFSH,1847 Holdings LLC Common Shares,$0.14,0.0019,1.376%,2299581.00,,2022,431311,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.13,-0.05,-0.491%,0.00,United States,2002,216029,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$5.93,-0.07,-1.167%,154155373.00,United States,,11190,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$16.40,0.00,0.00%,210782394.00,Israel,,271,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$25.43,0.72,2.914%,217600543.00,United States,2011,77762,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$1.77,0.01,0.568%,195826005.00,Canada,,167096,Basic Materials,Metal Mining
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.80,-0.015,-0.153%,0.00,United States,2002,46710,Finance,Finance/Investors Services
EONR,EON Resources Inc. Class A Common Stock,$0.45,-0.018,-3.846%,4407737.00,,2022,179883,Energy,Oil & Gas Production
EP,Empire Petroleum Corporation Common Stock,$6.81,0.04,0.591%,229034819.00,United States,2022,29786,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$4.90,0.08,1.66%,167844100.00,United States,,175412,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$6.66,0.16,2.462%,2853844119.00,Canada,,6718961,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.255,0.015,0.162%,0.00,United States,2003,85040,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$10.72,0.17,1.611%,0.00,,2004,58802,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$26.00,-0.21,-0.801%,72715708.00,United States,1960,13408,Technology,Industrial Machinery/Components
